iata,name,city,country
FRA,Frankfurt Airport,Frankfurt,Germany
BER,Berlin Brandenburg Airport,Berlin,Germany
MUC,Munich Airport,Munich,Germany
HAM,Hamburg Airport,Hamburg,Germany
CGN,Cologne Bonn Airport,Cologne,Germany
CDG,Charles de Gaulle Airport,Paris,France
VIE,Vienna International Airport,Vienna,Austria
LHR,Heathrow Airport,London,United Kingdom
JFK,John F. Kennedy International Airport,New York,USA
LAX,Los Angeles International Airport,Los Angeles,USA
ORD,O'Hare International Airport,Chicago,USA
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,USA
DFW,Dallas/Fort Worth International Airport,Dallas,USA
SFO,San Francisco International Airport,San Francisco,USA
